"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username"
"yjadot","1419741750717992961","2021-07-26 19:29:45+00:00","quoting","Ou comme @Guillaume_Mrtn4 qui lui aussi a suivi le chemin de https://t.co/zojCNNXVNa https://t.co/EilzYMtL91",True,True,"1419678399887560704","🟢 Pour la #PrimaireEcologiste j’ai décidé de soutenir la candidature de @yjadot. Son parcours, son expérience, le collectif écologiste autour de lui sont un vrai plus.

 Avec @EcoloJ_Fr faisons gagner l’écologie et la justice sociale en 2022. Rejoignez nous 💪💚 https://t.co/6ZZE2ByJ0T","2021-07-26 15:18:01+00:00","789790509753597952","Guillaume","Guillaume_Mrtn4"
"yjadot","1419741409247178752","2021-07-26 19:28:24+00:00","quoting","Merci Jean-Laurent pour ton soutien. Ensemble, uni-e-s, nous allons réparer et reconstruire notre pays ! https://t.co/Wf8aLuhTZl",True,True,"1419720628962271233","Le site pour s'inscrire  à la #PrimaireEcologiste et #voter est https://t.co/NN5HvbipJ0.
C'est avec un grand plaisir que je soutiens @yjadot.
Pourquoi ? Voir mon thread.
👇 https://t.co/rZ5Fm4txjE","2021-07-26 18:05:49+00:00","1097595239357911041","Jean-Laurent Félizia","FeliziaJean"
"yjadot","1419741389361909765","2021-07-26 19:28:19+00:00","quoting","Faites comme @DahmanRichter, inscrivez-vous sur https://t.co/zojCNNXVNa https://t.co/OxlCAYQPJ8",True,True,"1419547630191906817","Pour la #PrimaireEcologiste j'ai choisi de soutenir @yjadot. Parce qu'à 23 ans je veux voir l'écologie au pouvoir, pour limiter au maximum les effets du réchauffement climatique. Avec @EcoloJ_Fr, mouvement de jeunesse soutenant Jadot, nous partageons cette volonté 🌍 https://t.co/2BXjgZMJBC","2021-07-26 06:38:23+00:00","858237434","Dahman Richter","DahmanRichter"
"yjadot","1419362860665380869","2021-07-25 18:24:11+00:00","retweet","RT @EcoloJ_Fr: 🚧« Nous demandons à la France de retirer son soutien politique à ce sommet des Nations unies » 🇺🇳 🇫🇷

👉 TRIBUNE : « Il faut…",True,True,"1419352620288942088","🚧« Nous demandons à la France de retirer son soutien politique à ce sommet des Nations unies » 🇺🇳 🇫🇷

👉 TRIBUNE : « Il faut sauver l'agriculture paysanne ​»⤵️
🌎 https://t.co/iCGU7ECUni
📸 https://t.co/yV3CLKGCEs
👍 https://t.co/1sn0UcpmwF

#UNFSS2021 https://t.co/1PUyt2hNTX","2021-07-25 17:43:29+00:00","1272267866432249862","Écolo’J","EcoloJ_Fr"
"yjadot","1419354372736176129","2021-07-25 17:50:27+00:00","retweet","RT @ElodieBouzid: Comme vous le savez, je soutiens la candidature de @yjadot pour la #PrimaireEcologiste. En tant que jeune, je participe à…",True,True,"1419344677594144771","Comme vous le savez, je soutiens la candidature de @yjadot pour la #PrimaireEcologiste. En tant que jeune, je participe à la campagne avec @EcoloJ_Fr, un collectif gérés par des jeunes pour soutenir Yannick. Je vous encourage donc à nous rejoindre pour remporter cette primaire ! https://t.co/XwUPQanoqv","2021-07-25 17:11:55+00:00","2938502195","Elodie Bouzid","ElodieBouzid"
"yjadot","1418982172896239616","2021-07-24 17:11:28+00:00","retweet","RT @TerryReintke: „Let us walk through the streets of Budapest today. With our heads up high. And celebrate our lives. Celebrate who we are…",True,True,"1418978385552883723","„Let us walk through the streets of Budapest today. With our heads up high. And celebrate our lives. Celebrate who we are and who we love.“

WHAT AN AMAZING DAY IN BUDAPEST TODAY 🌈❤️✨

#BudapestPride https://t.co/Cb72Lg4bBZ","2021-07-24 16:56:25+00:00","560188351","Terry Reintke","TerryReintke"
"yjadot","1418621762137432069","2021-07-23 17:19:19+00:00","quoting","Merci beaucoup Nicolas pour ta confiance. Oui, plus que jamais, la famille de l’écologie doit être unie, s’élargir et se donner l’ambition et les moyens de gagner en 2022. Parce que les urgences nous obligent. Parce que le temps de l’écologie est venu ! #2022lecologie.fr https://t.co/h7yTEec7fp",True,True,"1418578739290574852","Primaire des écologistes : pour moi, c’est @yjadot
👇
https://t.co/NYFUbZ62Vh","2021-07-23 14:28:22+00:00","76123775","Nicolas THIERRY","nthierry"
"yjadot","1418322004537757696","2021-07-22 21:28:11+00:00","retweet","RT @M_Orphelin: Excellente nouvelle !",True,True,"1418294485562310667","Excellente nouvelle ! https://t.co/uy7Y4JxJUx","2021-07-22 19:38:50+00:00","949232324","Matthieu ORPHELIN","M_Orphelin"
"yjadot","1418321984920899588","2021-07-22 21:28:07+00:00","retweet","RT @marietouss1: La #justice donne raison aux
 opposantEs au #GCO, cette autoroute inutile et destructrice à Strasbourg.

Oui mais la rout…",True,True,"1418268675627438084","La #justice donne raison aux
 opposantEs au #GCO, cette autoroute inutile et destructrice à Strasbourg.

Oui mais la route est quasi finie.

La justice doit être + rapide, pour protéger le vivant, nos droits et l'argent public.
Réinvestissons-la!
@NotreAffaire @GreenProsecutor https://t.co/VRM54KaAfu","2021-07-22 17:56:17+00:00","244086871","Marie Toussaint 🌍🌏","marietouss1"
"yjadot","1418296525021753347","2021-07-22 19:46:56+00:00","retweet","RT @LucieEtonno: Soulagement, après des années de mobilisation citoyenne et associative, les nouveaux élus de la ComCom prennent enfin en c…",True,True,"1418296162503872519","Soulagement, après des années de mobilisation citoyenne et associative, les nouveaux élus de la ComCom prennent enfin en compte l'urgence climatique. Les écologistes s'en félicitent ! Merci à tous ! #BalanceTonPort cc. @EcologieEnsembl @yjadot https://t.co/TOsE6VpkMd","2021-07-22 19:45:30+00:00","3546189855","Lucie Etonno","LucieEtonno"
