"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username","own_text","cleaned_text"
"ZemmourEric","1441144371563270144","2021-09-23 20:56:08+00:00","normal","Jean-Luc Mélenchon vous vous trompez tout le temps et vous vous reniez tout le temps. Vous dites que je suis borné, parce que j’ai eu raison et que je reste cohérent.
#JeSoutiensZemmour",False,False,"","","","","","","Jean-Luc Mélenchon vous vous trompez tout le temps et vous vous reniez tout le temps. Vous dites que je suis borné, parce que j’ai eu raison et que je reste cohérent.
#JeSoutiensZemmour","jean-luc mélenchon trompez temps reniez temps dites borné raison cohérent"
"ZemmourEric","1441144175479570432","2021-09-23 20:55:21+00:00","normal","Il faut réinventer une écologie de droite enracinée.
#JeSoutiensZemmour",False,False,"","","","","","","Il faut réinventer une écologie de droite enracinée.
#JeSoutiensZemmour","faut réinventer écologie droite enracinée"
"ZemmourEric","1441139341129097217","2021-09-23 20:36:08+00:00","normal","Pour vous @JLMelenchon : « Je pardonne aux gens de n'être pas de mon avis, je ne leur pardonne pas de n'être pas du leur. » Talleyrand

#JeSoutiensZemmour",False,False,"","","","","","","Pour vous @JLMelenchon : « Je pardonne aux gens de n'être pas de mon avis, je ne leur pardonne pas de n'être pas du leur. » Talleyrand

#JeSoutiensZemmour","pardonne avis pardonne talleyrand"
"ZemmourEric","1441135459774582791","2021-09-23 20:20:43+00:00","quoting","😂 https://t.co/Cuf8L36MdT",True,True,"1441123141615603725","Zemmour le maître, Mélenchon l’élève.

#JeSoutiensZemmour #DebatBFMTV https://t.co/pTrThmWP6v","2021-09-23 19:31:46+00:00","88462044","Samuel Lafont","Samuel_Lafont","😂",""
"ZemmourEric","1441133111614455808","2021-09-23 20:11:23+00:00","normal","Votre grand-père s’appelait Melenchón. Il a francisé son nom. Vous êtes le fruit de ce modèle français que vous reniez.
#JeSoutiensZemmour",False,False,"","","","","","","Votre grand-père s’appelait Melenchón. Il a francisé son nom. Vous êtes le fruit de ce modèle français que vous reniez.
#JeSoutiensZemmour","grand-père appelait melenchón francisé nom êtes fruit modèle français reniez"
"ZemmourEric","1441127737511460870","2021-09-23 19:50:02+00:00","normal","Jean-Luc a trahi Mélenchon. Il était jadis un républicain, il a trahi la République pour courir après les indigénistes.
#JeSoutiensZemmour",False,False,"","","","","","","Jean-Luc a trahi Mélenchon. Il était jadis un républicain, il a trahi la République pour courir après les indigénistes.
#JeSoutiensZemmour","jean-luc trahi mélenchon jadis républicain trahi république courir indigénistes"
"ZemmourEric","1441126706522296323","2021-09-23 19:45:56+00:00","normal","Monsieur Mélenchon, je trouve vos propos sur les policiers scandaleux : vous dites qu’ils sont responsables de la violence, ils sont molestés, insultés, violentés et moins armés que les caïds face à eux.
#JeSoutiensZemmour",False,False,"","","","","","","Monsieur Mélenchon, je trouve vos propos sur les policiers scandaleux : vous dites qu’ils sont responsables de la violence, ils sont molestés, insultés, violentés et moins armés que les caïds face à eux.
#JeSoutiensZemmour","monsieur mélenchon trouve propos policiers scandaleux dites responsables violence molestés insultés violentés armés caïds face"
"ZemmourEric","1441122039838826498","2021-09-23 19:27:23+00:00","normal","Votre Edouard Glissant est un énième chantre de la mondialisation heureuse : c’est un Alain Minc martiniquais.
#JeSoutiensZemmour",False,False,"","","","","","","Votre Edouard Glissant est un énième chantre de la mondialisation heureuse : c’est un Alain Minc martiniquais.
#JeSoutiensZemmour","edouard glissant énième chantre mondialisation heureuse alain minc martiniquais"
"ZemmourEric","1441120655794003969","2021-09-23 19:21:53+00:00","normal","Au bout du mandat d’Emmanuel Macron, il y aura 2 millions d'immigrés de plus : c’est la ville de Paris qui entre chaque quinquennat !
#JeSoutiensZemmour",False,False,"","","","","","","Au bout du mandat d’Emmanuel Macron, il y aura 2 millions d'immigrés de plus : c’est la ville de Paris qui entre chaque quinquennat !
#JeSoutiensZemmour","bout mandat emmanuel macron millions immigrés ville paris quinquennat"
"ZemmourEric","1441118736874762244","2021-09-23 19:14:16+00:00","normal","Jean-Luc Mélenchon, dans votre camp on ne débat pas, on guillotine.
#JeSoutiensZemmour",False,False,"","","","","","","Jean-Luc Mélenchon, dans votre camp on ne débat pas, on guillotine.
#JeSoutiensZemmour","jean-luc mélenchon camp débat guillotine"
