"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username","own_text","cleaned_text"
"avecvous","1510978507433779202","2022-04-04 13:52:03+00:00","reply","Pour nos soignants. https://t.co/9dFrioCdZL",True,True,"1510978500055998468","Donner la priorité à la prévention. https://t.co/34mHHz9RwZ","2022-04-04 13:52:01+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Pour nos soignants. https://t.co/9dFrioCdZL","soignants"
"avecvous","1510978500055998468","2022-04-04 13:52:01+00:00","reply","Donner la priorité à la prévention. https://t.co/34mHHz9RwZ",True,True,"1510978492661436417","J-6. Le 10 avril, votez pour votre santé, votez pour Emmanuel Macron. https://t.co/wfyCe6KIi6","2022-04-04 13:51:59+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Donner la priorité à la prévention. https://t.co/34mHHz9RwZ","donner priorité prévention"
"avecvous","1510978492661436417","2022-04-04 13:51:59+00:00","normal","J-6. Le 10 avril, votez pour votre santé, votez pour Emmanuel Macron. https://t.co/wfyCe6KIi6",False,False,"","","","","","","J-6. Le 10 avril, votez pour votre santé, votez pour Emmanuel Macron. https://t.co/wfyCe6KIi6","j-6 avril votez santé votez emmanuel macron"
"avecvous","1510942202607943686","2022-04-04 11:27:47+00:00","normal","C’était jeudi dernier à Fouras avec vous ! https://t.co/4lVg3uRBNS",False,False,"","","","","","","C’était jeudi dernier à Fouras avec vous ! https://t.co/4lVg3uRBNS","jeudi dernier fouras"
"avecvous","1510884547294109699","2022-04-04 07:38:41+00:00","normal","« Je suis petit-fils d’enseignante, époux d’enseignante. Je le sais, les enseignants ne sont pas bien payés. Je souhaite qu’on puisse changer ça. » #MacronFranceInter https://t.co/zwRfXRNnBg",False,False,"","","","","","","« Je suis petit-fils d’enseignante, époux d’enseignante. Je le sais, les enseignants ne sont pas bien payés. Je souhaite qu’on puisse changer ça. » #MacronFranceInter https://t.co/zwRfXRNnBg","petit-fils enseignante époux enseignante sais enseignants bien payés souhaite puisse changer"
"avecvous","1510879538477248512","2022-04-04 07:18:47+00:00","normal","Comment équilibrer le système de retraite par répartition ? 
Réponse ici ⤵️ https://t.co/MF7wLndinv",False,False,"","","","","","","Comment équilibrer le système de retraite par répartition ? 
Réponse ici ⤵️ https://t.co/MF7wLndinv","équilibrer système retraite répartition réponse ici ️"
"avecvous","1510875836760694784","2022-04-04 07:04:04+00:00","normal","Nous pouvons faire de l'innovation la clé de la croissance et de la transition écologique. #MacronFranceInter https://t.co/PBFFXcIaIT",False,False,"","","","","","","Nous pouvons faire de l'innovation la clé de la croissance et de la transition écologique. #MacronFranceInter https://t.co/PBFFXcIaIT","pouvons faire innovation clé croissance transition écologique"
"avecvous","1510874557787344896","2022-04-04 06:58:59+00:00","normal","La santé, l’éducation, le grand âge et la retraite sont des réformes à lancer dès le début du quinquennat. #MacronFranceInter",False,False,"","","","","","","La santé, l’éducation, le grand âge et la retraite sont des réformes à lancer dès le début du quinquennat. #MacronFranceInter","santé éducation grand âge retraite réformes lancer début quinquennat"
"avecvous","1510871997714206720","2022-04-04 06:48:49+00:00","normal","Est-ce que le vote a encore du sens ? OUI ! #MacronFranceInter https://t.co/XcZAfcB4Zs",False,False,"","","","","","","Est-ce que le vote a encore du sens ? OUI ! #MacronFranceInter https://t.co/XcZAfcB4Zs","-ce vote sens oui"
"avecvous","1510692010763735051","2022-04-03 18:53:37+00:00","normal","https://t.co/GjoMy46UzO",False,False,"","","","","","","https://t.co/GjoMy46UzO",""
"avecvous","1510676969628831748","2022-04-03 17:53:51+00:00","normal","https://t.co/M0jDUfPjXW",False,False,"","","","","","","https://t.co/M0jDUfPjXW",""
"avecvous","1510657104138407941","2022-04-03 16:34:54+00:00","normal","Hier, vous étiez 30 000 à Paris La Défense Arena, 30 000 militants de l'idéal ! Merci à vous. #MacronArena
Les 10 et 24 avril, votons Emmanuel Macron ! https://t.co/CalBgiVY8V",False,False,"","","","","","","Hier, vous étiez 30 000 à Paris La Défense Arena, 30 000 militants de l'idéal ! Merci à vous. #MacronArena
Les 10 et 24 avril, votons Emmanuel Macron ! https://t.co/CalBgiVY8V","hier étiez paris défense arena militants idéal avril votons emmanuel macron"
"avecvous","1510604133652389890","2022-04-03 13:04:25+00:00","reply","Mettre en place des offres de location longue durée de véhicules électriques avec un forfait de base à moins de 100 euros par mois. https://t.co/f8kfaAAhsr",True,True,"1510604125611958280","La possibilité pour le plus grand nombre de rénover son logement. https://t.co/9n3IKrlNND","2022-04-03 13:04:23+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Mettre en place des offres de location longue durée de véhicules électriques avec un forfait de base à moins de 100 euros par mois. https://t.co/f8kfaAAhsr","mettre place offres location longue durée véhicules électriques forfait base euros mois"
"avecvous","1510604125611958280","2022-04-03 13:04:23+00:00","reply","La possibilité pour le plus grand nombre de rénover son logement. https://t.co/9n3IKrlNND",True,True,"1510604118825521159","https://t.co/5FccC2oZfQ","2022-04-03 13:04:22+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","La possibilité pour le plus grand nombre de rénover son logement. https://t.co/9n3IKrlNND","possibilité grand nombre rénover logement"
"avecvous","1510604118825521159","2022-04-03 13:04:22+00:00","reply","https://t.co/5FccC2oZfQ",True,True,"1510604111640682498","J-7. Le 10 avril, votez pour notre environnement, votez pour Emmanuel Macron. https://t.co/20WjKluVg6","2022-04-03 13:04:20+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","https://t.co/5FccC2oZfQ",""
